pulau,nama,ibu_kota
"Jawa","Banten","Kota Serang"
"Jawa","DKI Jakarta","Kota Jakarta"
"Jawa","Jawa Barat","Kota Bandung"
"Jawa","Jawa Tengah","Kota Semarang"
"Jawa","Jawa Timur","Kota Surabaya"
"Jawa","DI Yogyakarta","Kota Yogyakarta"
"Kalimantan","Kalimantan Barat","Kota Pontianak"
"Kalimantan","Kalimantan Selatan","Kota Banjarbaru"
"Kalimantan","Kalimantan Tengah","Kota Palangka Raya"
"Kalimantan","Kalimantan Timur","Kota Samarinda"
"Kalimantan","Kalimantan Utara","Kab. Tanjung Selor"
"Maluku","Maluku","Kota Ambon"
"Maluku","Maluku Utara","Kab. Sofifi"
"Nusa Tenggara","Bali","Kota Denpasar"
"Nusa Tenggara","Nusa Tenggara Barat","Kota Mataram"
"Nusa Tenggara","Nusa Tenggara Timur","Kota Kupang"
"Papua","Papua","Kota Jayapura"
"Papua","Papua Barat","Kab. Manokwari"
"Papua","Papua Barat Daya","Kota Sorong"
"Papua","Papua Pegunungan","Kab. Jayawijaya (Wamena)"
"Papua","Papua Selatan","Kab. Merauke"
"Papua","Papua Tengah","Kab. Nabire"
"Sulawesi","Gorontalo","Kota Gorontalo"
"Sulawesi","Sulawesi Barat","Kab. Mamuju"
"Sulawesi","Sulawesi Selatan","Kota Makassar"
"Sulawesi","Sulawesi Tengah","Kota Palu"
"Sulawesi","Sulawesi Tenggara","Kota Kendari"
"Sulawesi","Sulawesi Utara","Kota Manado"
"Sumatera","Aceh","Kota Banda Aceh"
"Sumatera","Bengkulu","Kota Bengkulu"
"Sumatera","Jambi","Kota Jambi"
"Sumatera","Kepulauan Bangka Belitung","Kota Pangkalpinang"
"Sumatera","Kepulauan Riau","Kota Tanjungpinang"
"Sumatera","Lampung","Kota Bandar Lampung"
"Sumatera","Riau","Kota Pekanbaru"
"Sumatera","Sumatera Barat","Kota Padang"
"Sumatera","Sumatera Selatan","Kota Palembang"
"Sumatera","Sumatera Utara","Kota Medan"
